"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",95,2,2,2,"Imported cases only",8,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",80,45,7,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",115,4,27,3,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",82,52,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Antigua and Barbuda",2,2,2,2,"Imported cases only",13,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",106,2,7,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",48,29,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",75,3,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",37,18,16,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",14,17,15,3,"Local transmission",2,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",67,2,3,2,"Imported cases only",3,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",62,47,3,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",54,35,3,3,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Barbados",17,2,2,2,"Imported cases only",3,"Level 1: Exercise Normal Precautions","March 7, 2019","Not yet restricted"
"Belarus",72,2,2,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",13,25,4,2,"Local transmission",2,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Benin",17,3,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bermuda",17,2,2,2,"Imported cases only",3,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Bhutan",17,3,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",94,64,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","January 6, 2020","Restricted"
"Bosnia and Herzegovina",70,37,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
"Brazil",100,60,14,11,"Local transmission",2,"Level 2: Exercise Increased Caution","January 14, 2020","Not yet restricted"
"Bulgaria",86,19,9,3,"Local transmission",2,"Level 1: Exercise Normal Precautions","November 22, 2019","Not yet restricted"
"Burkina Faso",112,10,3,2,"Imported cases only",2,"Level 4: Do Not Travel","November 26, 2019","Not yet restricted"
"Cambodia",32,6,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 7, 2019","Restricted"
"Cameroon",94,55,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Canada",103,61,26,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cayman Islands",63,19,3,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Chad",2,3,2,2,"Imported cases only",2,"Level 3: Reconsider Travel","October 2, 2019","Not yet restricted"
"Chile",98,59,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","November 8, 2019","Not yet restricted"
"China",40,7,10,5,"Local transmission",2,"Level 4: Do Not Travel","February 2, 2020","Restricted"
"Colombia",91,48,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Restricted"
"Costa Rica",105,66,3,2,"Local transmission",2,"Level 2: Exercise Increased Caution","January 7, 2020","Not yet restricted"
"Croatia",83,2,2,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cuba",5,3,3,2,"Local transmission",2,"Level 2: Exercise Increased Caution","November 21, 2019","Not yet restricted"
"Cyprus",77,2,2,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","August 21, 2019","Not yet restricted"
"Denmark",6,40,16,10,"Local transmission",2,"Level 2: Exercise Increased Caution","June 25, 2019","Restricted"
"Djibouti",2,2,2,2,"Under investigation",3,"Level 1: Exercise Normal Precautions","November 18, 2019","Not yet restricted"
"Dominican Republic",67,47,7,3,"Local transmission",2,"Level 2: Exercise Increased Caution","April 15, 2019","Not yet restricted"
"Ecuador",16,54,9,3,"Local transmission",2,"Level 2: Exercise Increased Caution","November 7, 2019","Not yet restricted"
"Egypt",59,10,16,2,"Local transmission",2,"Level 2: Exercise Increased Caution","March 6, 2020","Restricted"
"El Salvador",2,3,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","October 1, 2019","Not yet restricted"
"Equatorial Guinea",99,3,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","December 11, 2019","Not yet restricted"
"Estonia",21,41,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","August 2, 2019","Not yet restricted"
"Eswatini",2,2,2,2,"Imported cases only",12,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
"Ethiopia",85,64,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","August 20, 2019","Not yet restricted"
"Fiji",2,3,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","December 16, 2019","Not yet restricted"
"Finland",27,4,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","September 27, 2019","Not yet restricted"
"France",3,15,13,7,"Local transmission",2,"Level 2: Exercise Increased Caution","April 1, 2019","Not yet restricted"
"French Guiana",94,53,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","November 19, 2019","Not yet restricted"
"French Polynesia",5,37,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","March 25, 2019","Not yet restricted"
"Gabon",63,2,2,2,"Imported cases only",3,"Level 1: Exercise Normal Precautions","January 10, 2019","Not yet restricted"
"Georgia",69,53,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Germany",4,23,8,15,"Local transmission",2,"Level 2: Exercise Increased Caution","June 19, 2019","Restricted"
"Ghana",5,19,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","July 17, 2019","Not yet restricted"
"Greece",31,2,15,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","July 5, 2019","Restricted"
"Guatemala",85,64,3,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","February 28, 2019","Not yet restricted"
"Guinea",17,3,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","February 13, 2020","Not yet restricted"
"Guyana",75,2,3,2,"Local transmission",3,"Level 2: Exercise Increased Caution","May 30, 2019","Not yet restricted"
"Honduras",7,64,2,2,"Imported cases only",2,"Level 3: Reconsider Travel","June 24, 2019","Not yet restricted"
"Hungary",38,48,3,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","August 22, 2019","Restricted"
"Iceland",25,38,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","June 20, 2019","Not yet restricted"
"India",57,54,14,3,"Local transmission",2,"Level 2: Exercise Increased Caution","March 8, 2019","Restricted"
"Indonesia",65,58,24,19,"Local transmission",2,"Level 2: Exercise Increased Caution","December 27, 2019","Restricted"
"Iran",56,44,23,18,"Local transmission",2,"Level 4: Do Not Travel","February 26, 2020","Not yet restricted"
"Iraq",55,47,22,2,"Local transmission",2,"Level 4: Do Not Travel","January 11, 2020","Not yet restricted"
"Ireland",34,22,9,3,"Local transmission",2,"Level 1: Exercise Normal Precautions","November 4, 2019","Not yet restricted"
"Italy",30,33,12,14,"Local transmission",2,"Level 3: Reconsider Travel","February 29, 2020","Restricted"
"Jamaica",94,19,3,3,"Local transmission",2,"Level 2: Exercise Increased Caution","April 15, 2019","Not yet restricted"
"Japan",44,36,11,12,"Local transmission",2,"Level 2: Exercise Increased Caution","February 22, 2020","Restricted"
"Jordan",102,53,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","December 12, 2018","Restricted"
"Kazakhstan",72,4,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","April 3, 2019","Not yet restricted"
"Kenya",113,2,2,2,"Local transmission",3,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Kuwait",51,56,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Latvia",84,48,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","July 25, 2019","Not yet restricted"
"Lebanon",52,51,14,2,"Local transmission",2,"Level 3: Reconsider Travel","October 21, 2019","Not yet restricted"
"Liberia",17,2,2,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","January 7, 2019","Not yet restricted"
"Liechtenstein",61,2,2,2,"Imported cases only",3,"Level 1: Exercise Normal Precautions","October 8, 2019","Not yet restricted"
"Lithuania",68,4,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","June 4, 2019","Not yet restricted"
"Luxembourg",26,9,14,10,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 29, 2020","Not yet restricted"
"Malaysia",43,20,7,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","April 9, 2019","Restricted"
"Maldives",49,2,2,2,"Local transmission",10,"Level 2: Exercise Increased Caution","May 2, 2019","Not yet restricted"
"Malta",76,55,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","July 1, 2019","Not yet restricted"
"Mauritania",17,2,2,2,"Imported cases only",3,"Level 2: Exercise Increased Caution","December 26, 2019","Not yet restricted"
"Mauritius",113,53,2,2,"Under investigation",2,"Level 1: Exercise Normal Precautions","December 18, 2019","Not yet restricted"
"Mexico",93,63,3,3,"Imported cases only",2,"Level 2: Exercise Increased Caution","December 17, 2019","Restricted"
"Moldova",74,47,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","July 17, 2019","Not yet restricted"
"Mongolia",35,3,2,2,"Imported cases only",2,"Level 4: Do Not Travel","March 18, 2020","Not yet restricted"
"Montenegro",47,37,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 15, 2020","Not yet restricted"
"Montserrat",2,2,2,2,"Imported cases only",3,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Morocco",79,6,7,2,"Local transmission",2,"Level 2: Exercise Increased Caution","April 2, 2019","Restricted"
"Namibia",63,3,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
"Nepal",2,2,2,2,"Imported cases only",11,"Level 2: Exercise Increased Caution","January 2, 2020","Not yet restricted"
"Netherlands",19,30,17,9,"Local transmission",2,"Level 2: Exercise Increased Caution","July 19, 2019","Not yet restricted"
"New Caledonia",17,19,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","April 1, 2019","Not yet restricted"
"New Zealand",29,16,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","November 21, 2019","Restricted"
"Nicaragua",2,3,2,2,"Under investigation",2,"Level 3: Reconsider Travel","April 3, 2019","Not yet restricted"
"Niger",2,3,2,2,"Imported cases only",2,"Level 3: Reconsider Travel","December 19, 2019","Not yet restricted"
"Nigeria",7,53,2,2,"Imported cases only",2,"Level 3: Reconsider Travel","October 29, 2019","Restricted"
"North Macedonia",73,13,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 23, 2019","Not yet restricted"
"Norway",11,8,16,11,"Local transmission",2,"Level 1: Exercise Normal Precautions","September 13, 2019","Restricted"
"Oman",29,56,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Pakistan",64,57,7,10,"Imported cases only",2,"Level 3: Reconsider Travel","January 31, 2020","Not yet restricted"
"Panama",92,62,3,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 3, 2019","Not yet restricted"
"Paraguay",5,2,2,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","January 22, 2019","Not yet restricted"
"Peru",96,68,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","October 22, 2019","Restricted"
"Philippines",18,24,6,11,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Restricted"
"Poland",23,29,15,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 14, 2020","Not yet restricted"
"Portugal",39,11,9,3,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 28, 2019","Not yet restricted"
"Qatar",71,4,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Romania",20,10,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","August 5, 2019","Not yet restricted"
"Russia",16,32,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","February 10, 2020","Restricted"
"Rwanda",5,2,2,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","December 11, 2019","Restricted"
"Saint Lucia",17,2,2,2,"Imported cases only",10,"Level 1: Exercise Normal Precautions","April 15, 2019","Not yet restricted"
"Saudi Arabia",60,2,2,2,"Local transmission",3,"Level 2: Exercise Increased Caution","September 17, 2019","Restricted"
"Senegal",69,19,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","April 25, 2019","Not yet restricted"
"Seychelles",35,2,2,2,"Imported cases only",3,"Level 1: Exercise Normal Precautions","December 18, 2019","Not yet restricted"
"Singapore",26,26,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 20, 2018","Restricted"
"Sint Maarten",2,2,2,2,"Imported cases only",3,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Slovakia",8,49,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","July 26, 2019","Not yet restricted"
"Slovenia",22,27,3,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 15, 2020","Not yet restricted"
"Somalia",2,2,2,2,"Imported cases only",9,"Level 4: Do Not Travel","October 28, 2019","Not yet restricted"
"South Africa",109,70,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","December 23, 2019","Restricted"
"South Korea",42,21,19,4,"Local transmission",2,"Level 3: Reconsider Travel","February 29, 2020","Restricted"
"Spain",12,28,18,8,"Local transmission",2,"Level 2: Exercise Increased Caution","October 21, 2019","Restricted"
"Sri Lanka",78,13,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","June 24, 2019","Restricted"
"Sudan",2,2,3,2,"Imported cases only",12,"Level 3: Reconsider Travel","September 26, 2019","Not yet restricted"
"Suriname",2,2,2,2,"Imported cases only",10,"Level 1: Exercise Normal Precautions","October 18, 2019","Not yet restricted"
"Sweden",10,12,9,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","March 29, 2019","Not yet restricted"
"Switzerland",28,39,11,6,"Local transmission",2,"Level 1: Exercise Normal Precautions","October 8, 2019","Not yet restricted"
"Thailand",66,46,3,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","February 7, 2020","Restricted"
"Togo",85,37,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","May 22, 2019","Not yet restricted"
"Trinidad and Tobago",85,19,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Tunisia",29,4,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","January 2, 2019","Not yet restricted"
"Turkey",15,2,7,2,"Local transmission",3,"Level 2: Exercise Increased Caution","September 5, 2019","Restricted"
"Ukraine",53,2,7,2,"Local transmission",3,"Level 2: Exercise Increased Caution","February 19, 2020","Restricted"
"United Arab Emirates",50,50,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 17, 2019","Restricted"
"United Kingdom",24,34,5,13,"Local transmission",2,"Level 2: Exercise Increased Caution","April 22, 2019","Restricted"
"United States of America",90,65,25,20,"Local transmission",2,"Do not travel","18 Mar 2020","Restricted"
"Uruguay",104,67,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","August 2, 2019","Not yet restricted"
"Uzbekistan",58,55,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 13, 2018","Not yet restricted"
"Venezuela",68,2,2,2,"Imported cases only",3,"Level 4: Do Not Travel","December 2, 2019","Not yet restricted"
"Zambia",17,2,2,2,"Imported cases only",3,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
